48
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	2	0	0	2	0	0	0	0	0	7	0	7	0	0
2	2	2	3	0	0	b	0	0	b	0	1	2	2	2	2	3222222
6	6	6	2	0	0	2	0	0	2	2	0	0	2	0	0	0
6	6	6	9	2	0	2	0	7	0	0	0	b	0	0	0	0
6	6	6	6	9	2	2	2	2	3	0	0	2	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	7	7	7	0	0	b	0	0	0	1	3	0	0	1	2	8
1	2	2	2	2	2	2	2	2	2	8	5	0	0	4	6	6
